Reporting Area,MMWR Year,MMWR Week,Salmonella Paratyphi infection Current week,Salmonella Paratyphi infection Previous 52 weeks,Salmonella Paratyphi infection 2021,Salmonella Paratyphi infection 2020,Salmonella Typhi infection Current week,Salmonella Typhi infection Previous 52 weeks,Salmonella Typhi infection 2021,Salmonella Typhi infection 2020,Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection) Current week,Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection) Previous 52 weeks,Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection) 2021,Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection) 2020,Location 1,Location 2,Reporting Area Sort,Geocode Latitude,Geocode Longitude
UTAH,2021,11,,0,,,,0,,,,52,27,45,UTAH,,20211155,-111.678222,39.323779
COLORADO,2021,11,,1,,,,1,,,9,30,84,115,COLORADO,,20211150,-105.547832,38.998552
VERMONT,2021,11,,0,,,,0,,,,8,2,7,VERMONT,,20211108,-72.662695,44.075252
KENTUCKY,2021,11,,0,,,,0,,1,2,51,29,58,KENTUCKY,,20211140,-85.290484,37.526683
PUERTO RICO,2021,11,,0,,,,0,,,,11,2,25,PUERTO RICO,,20211167,-66.414655,18.215692
MAINE,2021,11,,0,,,,0,,,,10,13,5,MAINE,,20211104,-69.06137,45.117911
VIRGINIA,2021,11,,1,,1,,2,,4,7,54,109,107,VIRGINIA,,20211136,-78.666382,37.510861
ARIZONA,2021,11,,1,,1,1,0,1,3,6,28,111,100,ARIZONA,,20211149,-111.664616,34.293239
AMERICAN SAMOA,2021,11,,0,,,,0,,,,0,,,,AMERICAN SAMOA,20211164,,
WISCONSIN,2021,11,,0,,1,,1,,,2,33,69,132,WISCONSIN,,20211119,-89.732969,44.639954
IDAHO,2021,11,,0,,,,0,,,,14,,41,IDAHO,,20211151,-114.659366,44.389073
U.S. VIRGIN ISLANDS,2021,11,,0,,,,0,,,,0,,,VIRGIN ISLANDS,,20211168,-64.840836,18.060868
MICHIGAN,2021,11,,0,,3,,1,,,,47,24,139,MICHIGAN,,20211117,-85.730977,44.874798
GEORGIA,2021,11,,0,,,,0,,,,188,126,275,GEORGIA,,20211132,-83.426574,32.638481
NEW YORK CITY,2021,11,,0,,5,,2,1,9,8,43,116,169,,NEW YORK CITY,20211112,,
ARKANSAS,2021,11,,1,,,,1,,,4,23,48,44,ARKANSAS,,20211144,-92.439162,34.899825
MISSISSIPPI,2021,11,,0,,,,0,,,,0,,,MISSISSIPPI,,20211141,-89.65344,32.713378
SOUTH DAKOTA,2021,11,,0,,,,0,,,,3,9,10,SOUTH DAKOTA,,20211127,-100.230491,44.43614
WYOMING,2021,11,,0,,,,0,,,,9,12,11,WYOMING,,20211156,-107.55145,42.999627
MISSOURI,2021,11,,0,,,,1,,2,,36,17,97,MISSOURI,,20211124,-92.477244,38.3675
MIDDLE ATLANTIC,2021,11,,2,,7,,2,6,22,24,128,304,573,,MIDDLE ATLANTIC,20211109,,
CALIFORNIA,2021,11,,1,,,,2,3,7,14,57,190,61,CALIFORNIA,,20211159,-119.662127,37.211164
WEST VIRGINIA,2021,11,,0,,,,0,,,,14,1,16,WEST VIRGINIA,,20211137,-80.613729,38.642579
FLORIDA,2021,11,,0,,1,,1,,,,396,390,804,FLORIDA,,20211131,-82.420978,28.260731
MONTANA,2021,11,,0,,,,0,,,,30,18,14,MONTANA,,20211152,-109.645127,47.033521
WEST NORTH CENTRAL,2021,11,,2,,1,,1,,2,,92,137,298,,WEST NORTH CENTRAL,20211120,,
MASSACHUSETTS,2021,11,,1,,2,,1,1,3,6,30,105,130,MASSACHUSETTS,,20211105,-71.481104,42.151077
MOUNTAIN,2021,11,,1,,3,1,1,1,3,15,153,259,381,,MOUNTAIN,20211148,,
INDIANA,2021,11,,0,,,,0,,1,,27,31,108,INDIANA,,20211116,-86.2818,39.919991
NON-US RESIDENTS,2021,11,,0,,,,0,,,,1,,,,NON-US RESIDENTS,20211169,,
US TERRITORIES,2021,11,,0,,,,0,,,,11,2,25,,US TERRITORIES,20211163,,
TOTAL,2021,12,1,3,4,33,,3,13,72,165,1391,3136,5259,,TOTAL,20211270,,
US RESIDENTS,2021,12,1,3,4,33,,3,13,72,165,1388,3134,5233,,US RESIDENTS,20211201,,
NEW HAMPSHIRE,2021,12,,0,,,,1,,,,9,12,20,NEW HAMPSHIRE,,20211206,-71.57139,43.680429
NEW YORK,2021,12,,0,,3,,2,3,3,11,49,111,187,NEW YORK,,20211211,-75.59655,42.921241
PACIFIC,2021,12,,1,2,1,,2,4,15,18,161,369,241,,PACIFIC,20211257,,
WEST SOUTH CENTRAL,2021,12,,1,,1,,1,,5,16,226,310,642,,WEST SOUTH CENTRAL,20211243,,
NEBRASKA,2021,12,,0,,,,0,,,,16,27,34,NEBRASKA,,20211225,-99.810595,41.527099
EAST SOUTH CENTRAL,2021,12,,1,,1,,1,,2,1,93,168,272,,EAST SOUTH CENTRAL,20211238,,
NORTH DAKOTA,2021,12,,0,,,,0,,,,5,6,13,NORTH DAKOTA,,20211226,-100.46931,47.446305
NEVADA,2021,12,,0,,2,,0,,,,3,8,12,NEVADA,,20211253,-114.916992,39.283294
ILLINOIS,2021,12,,2,,5,,1,,3,,71,106,234,ILLINOIS,,20211215,-89.148632,40.124144
IOWA,2021,12,,2,,1,,0,,,4,34,49,88,IOWA,,20211221,-93.500061,42.074659
TEXAS,2021,12,,1,,1,,1,,3,,153,113,344,TEXAS,,20211247,-99.317341,31.447238
ALASKA,2021,12,,1,,,,0,,,,6,,,ALASKA,,20211258,-151.631889,63.631126
DISTRICT OF COLUMBIA,2021,12,,0,,,,0,,,,2,,3,DISTRICT OF COLUMBIA,,20211230,-77.016275,38.904785
WASHINGTON,2021,12,,1,1,1,,1,,7,5,69,84,107,WASHINGTON,,20211262,-120.592492,47.411715
NEW ENGLAND,2021,12,,1,1,5,,1,1,3,12,62,174,252,,NEW ENGLAND,20211202,,
RHODE ISLAND,2021,12,,0,,,,0,,,,10,,15,RHODE ISLAND,,20211207,-71.534637,41.572574
OREGON,2021,12,,0,,,,0,,1,2,68,44,49,OREGON,,20211261,-120.605279,43.940449
DELAWARE,2021,12,,0,,,,1,1,,2,10,12,,DELAWARE,,20211229,-75.452394,38.994926
ALABAMA,2021,12,,1,,1,,1,,,,44,47,102,ALABAMA,,20211239,-86.844516,32.756889
KANSAS,2021,12,,0,,,,0,,,1,26,41,67,KANSAS,,20211222,-98.38018,38.484729
NORTH CAROLINA,2021,12,,0,,,,0,,4,,68,34,213,NORTH CAROLINA,,20211234,-79.130883,35.52603
GUAM,2021,12,,0,,,,0,,,,0,,,GUAM,,20211266,144.653198,13.3532
NEW JERSEY,2021,12,,0,,,,1,,5,,1,,41,NEW JERSEY,,20211210,-74.655514,40.110253
NEW MEXICO,2021,12,,0,,,,0,,,,15,,46,NEW MEXICO,,20211254,-106.108388,34.421369
EAST NORTH CENTRAL,2021,12,,2,,9,,1,,6,7,217,352,791,,EAST NORTH CENTRAL,20211214,,
TENNESSEE,2021,12,,1,,,,0,,1,,41,89,111,TENNESSEE,,20211242,-86.343226,35.842998
CONNECTICUT,2021,12,,1,1,3,,1,,,2,17,29,66,CONNECTICUT,,20211203,-72.738288,41.575155
MARYLAND,2021,12,,1,,,,1,,1,,38,,107,MARYLAND,,20211233,-76.687282,38.946466
SOUTH CAROLINA,2021,12,,0,,,,0,,2,4,85,103,119,SOUTH CAROLINA,,20211235,-80.864614,33.878572
OKLAHOMA,2021,12,,0,,,,0,,2,10,41,63,90,OKLAHOMA,,20211246,-97.508297,35.583449
NORTHERN MARIANA ISLANDS,2021,12,,0,,,,0,,,,0,,,NORTHERN MARIANA ISLANDS,,20211265,145.725693,15.1834
OHIO,2021,12,,0,,,,1,,2,,48,105,150,OHIO,,20211218,-82.70936,40.415534
MINNESOTA,2021,12,,0,,,,0,,,,0,,,MINNESOTA,,20211223,-94.198308,46.349153
LOUISIANA,2021,12,,1,,,,0,,,2,47,82,157,LOUISIANA,,20211245,-91.840238,30.921314
HAWAII,2021,12,,1,1,,,0,,,,6,18,20,HAWAII,,20211260,-157.854309,21.361013
SOUTH ATLANTIC,2021,12,,1,,2,,2,1,11,57,714,979,1681,,SOUTH ATLANTIC,20211228,,
PENNSYLVANIA,2021,12,,1,,1,,2,2,6,8,52,109,216,PENNSYLVANIA,,20211213,-77.838886,40.896694
UTAH,2021,12,,0,,,,0,,,1,52,30,51,UTAH,,20211255,-111.678222,39.323779
COLORADO,2021,12,,1,,,,1,,1,7,30,96,122,COLORADO,,20211250,-105.547832,38.998552
VERMONT,2021,12,,0,,,,0,,,,8,2,8,VERMONT,,20211208,-72.662695,44.075252
KENTUCKY,2021,12,,0,,,,0,,1,1,51,32,59,KENTUCKY,,20211240,-85.290484,37.526683
PUERTO RICO,2021,12,,0,,,,0,,,,11,2,26,PUERTO RICO,,20211267,-66.414655,18.215692
MAINE,2021,12,,0,,,,0,,,2,10,15,8,MAINE,,20211204,-69.06137,45.117911
VIRGINIA,2021,12,,1,,1,,2,,4,7,52,117,120,VIRGINIA,,20211236,-78.666382,37.510861
ARIZONA,2021,12,,0,,2,,1,1,3,7,28,116,114,ARIZONA,,20211249,-111.664616,34.293239
AMERICAN SAMOA,2021,12,,0,,,,0,,,,0,,,,AMERICAN SAMOA,20211264,,
WISCONSIN,2021,12,,0,,1,,1,,,7,33,81,138,WISCONSIN,,20211219,-89.732969,44.639954
IDAHO,2021,12,,0,,,,0,,,,14,,43,IDAHO,,20211251,-114.659366,44.389073
U.S. VIRGIN ISLANDS,2021,12,,0,,,,0,,,,0,,,VIRGIN ISLANDS,,20211268,-64.840836,18.060868
MICHIGAN,2021,12,,0,,3,,1,,,,47,24,149,MICHIGAN,,20211217,-85.730977,44.874798
GEORGIA,2021,12,,0,,,,0,,,5,99,144,240,GEORGIA,,20211232,-83.426574,32.638481
NEW YORK CITY,2021,12,1,0,1,5,,2,1,10,15,43,131,181,,NEW YORK CITY,20211212,,
ARKANSAS,2021,12,,1,,,,1,,,4,23,52,51,ARKANSAS,,20211244,-92.439162,34.899825
MISSISSIPPI,2021,12,,0,,,,0,,,,0,,,MISSISSIPPI,,20211241,-89.65344,32.713378
SOUTH DAKOTA,2021,12,,0,,,,0,,,,4,11,10,SOUTH DAKOTA,,20211227,-100.230491,44.43614
WYOMING,2021,12,,0,,,,0,,,,9,12,12,WYOMING,,20211256,-107.55145,42.999627
MISSOURI,2021,12,,0,,,,1,,2,,36,17,103,MISSOURI,,20211224,-92.477244,38.3675
MIDDLE ATLANTIC,2021,12,1,1,1,9,,2,6,24,34,129,351,625,,MIDDLE ATLANTIC,20211209,,
CALIFORNIA,2021,12,,1,,,,2,4,7,11,58,223,65,CALIFORNIA,,20211259,-119.662127,37.211164
WEST VIRGINIA,2021,12,,0,,,,0,,,,14,1,20,WEST VIRGINIA,,20211237,-80.613729,38.642579
FLORIDA,2021,12,,0,,1,,1,,,39,397,568,859,FLORIDA,,20211231,-82.420978,28.260731
MONTANA,2021,12,,0,,,,0,,,,29,18,14,MONTANA,,20211252,-109.645127,47.033521
WEST NORTH CENTRAL,2021,12,,2,,1,,1,,2,5,92,151,315,,WEST NORTH CENTRAL,20211220,,
MASSACHUSETTS,2021,12,,1,,2,,1,1,3,8,30,116,135,MASSACHUSETTS,,20211205,-71.481104,42.151077
MOUNTAIN,2021,12,,1,,4,,1,1,4,15,152,280,414,,MOUNTAIN,20211248,,
INDIANA,2021,12,,0,,,,0,,1,,27,36,120,INDIANA,,20211216,-86.2818,39.919991
NON-US RESIDENTS,2021,12,,0,,,,0,,,,1,,,,NON-US RESIDENTS,20211269,,
US TERRITORIES,2021,12,,0,,,,0,,,,11,2,26,,US TERRITORIES,20211263,,
TOTAL,2021,13,,3,6,34,1,3,16,74,197,1513,3515,5565,,TOTAL,20211370,,
US RESIDENTS,2021,13,,3,6,34,1,3,16,74,197,1510,3513,5539,,US RESIDENTS,20211301,,
NEW HAMPSHIRE,2021,13,,0,,,,1,,,3,9,17,20,NEW HAMPSHIRE,,20211306,-71.57139,43.680429
NEW YORK,2021,13,,0,,3,,2,3,3,12,49,123,197,NEW YORK,,20211311,-75.59655,42.921241
PACIFIC,2021,13,,1,2,1,1,2,5,15,14,168,411,264,,PACIFIC,20211357,,
WEST SOUTH CENTRAL,2021,13,,1,,1,,1,,5,21,225,334,687,,WEST SOUTH CENTRAL,20211343,,
NEBRASKA,2021,13,,0,,,,0,,,4,16,41,36,NEBRASKA,,20211325,-99.810595,41.527099
EAST SOUTH CENTRAL,2021,13,,1,,1,,1,,2,3,98,187,293,,EAST SOUTH CENTRAL,20211338,,
NORTH DAKOTA,2021,13,,0,,,,0,,,,5,6,13,NORTH DAKOTA,,20211326,-100.46931,47.446305
NEVADA,2021,13,,0,,2,,0,,,,3,8,13,NEVADA,,20211353,-114.916992,39.283294
ILLINOIS,2021,13,,2,,6,,1,,3,,71,108,244,ILLINOIS,,20211315,-89.148632,40.124144
IOWA,2021,13,,2,,1,,0,,,4,35,63,93,IOWA,,20211321,-93.500061,42.074659
TEXAS,2021,13,,1,,1,,1,,3,,153,121,355,TEXAS,,20211347,-99.317341,31.447238
ALASKA,2021,13,,1,,,,0,,,,9,3,5,ALASKA,,20211358,-151.631889,63.631126
DISTRICT OF COLUMBIA,2021,13,,0,,,,0,,,,2,,3,DISTRICT OF COLUMBIA,,20211330,-77.016275,38.904785
WASHINGTON,2021,13,,1,1,1,,1,,7,2,69,95,116,WASHINGTON,,20211362,-120.592492,47.411715
NEW ENGLAND,2021,13,,1,1,4,,1,1,3,12,62,191,256,,NEW ENGLAND,20211302,,
RHODE ISLAND,2021,13,,0,,,,0,,,1,10,1,15,RHODE ISLAND,,20211307,-71.534637,41.572574
OREGON,2021,13,,0,,,,0,,1,,68,46,51,OREGON,,20211361,-120.605279,43.940449
DELAWARE,2021,13,,0,,,,1,1,,,10,13,,DELAWARE,,20211329,-75.452394,38.994926
ALABAMA,2021,13,,1,,1,,1,,,3,44,60,106,ALABAMA,,20211339,-86.844516,32.756889
KANSAS,2021,13,,0,,,,0,,,,26,41,70,KANSAS,,20211322,-98.38018,38.484729
NORTH CAROLINA,2021,13,,0,,,,0,,4,,68,34,227,NORTH CAROLINA,,20211334,-79.130883,35.52603
GUAM,2021,13,,0,,,,0,,,,0,,,GUAM,,20211366,144.653198,13.3532
NEW JERSEY,2021,13,,0,,,,1,,5,,1,,41,NEW JERSEY,,20211310,-74.655514,40.110253
NEW MEXICO,2021,13,,0,,,,0,,,,15,,49,NEW MEXICO,,20211354,-106.108388,34.421369
EAST NORTH CENTRAL,2021,13,,2,,10,,1,,6,3,217,402,826,,EAST NORTH CENTRAL,20211314,,
TENNESSEE,2021,13,,1,,,,0,,1,,41,89,117,TENNESSEE,,20211342,-86.343226,35.842998
CONNECTICUT,2021,13,,1,1,3,,1,,,,17,29,67,CONNECTICUT,,20211303,-72.738288,41.575155
MARYLAND,2021,13,,0,,1,,1,,1,,38,,111,MARYLAND,,20211333,-76.687282,38.946466
SOUTH CAROLINA,2021,13,,0,,,,0,,2,5,85,110,127,SOUTH CAROLINA,,20211335,-80.864614,33.878572
OKLAHOMA,2021,13,,0,,,,0,,2,3,41,66,99,OKLAHOMA,,20211346,-97.508297,35.583449
NORTHERN MARIANA ISLANDS,2021,13,,0,,,,0,,,,0,,,NORTHERN MARIANA ISLANDS,,20211365,145.725693,15.1834
OHIO,2021,13,,0,,,,1,,2,,48,139,158,OHIO,,20211318,-82.70936,40.415534
MINNESOTA,2021,13,,0,,,,0,,,,0,,,MINNESOTA,,20211323,-94.198308,46.349153
LOUISIANA,2021,13,,1,,,,0,,,12,47,96,178,LOUISIANA,,20211345,-91.840238,30.921314
HAWAII,2021,13,,1,1,,,0,,,,6,19,22,HAWAII,,20211360,-157.854309,21.361013
SOUTH ATLANTIC,2021,13,,1,1,3,,2,2,11,87,822,1110,1788,,SOUTH ATLANTIC,20211328,,
PENNSYLVANIA,2021,13,,1,,1,,2,2,6,12,52,132,227,PENNSYLVANIA,,20211313,-77.838886,40.896694
UTAH,2021,13,,0,,,,0,,,1,52,35,53,UTAH,,20211355,-111.678222,39.323779
COLORADO,2021,13,,1,,,,1,,1,8,30,106,129,COLORADO,,20211350,-105.547832,38.998552
VERMONT,2021,13,,0,,,,0,,,,8,2,9,VERMONT,,20211308,-72.662695,44.075252
KENTUCKY,2021,13,,0,,,,0,,1,,52,38,70,KENTUCKY,,20211340,-85.290484,37.526683
PUERTO RICO,2021,13,,0,,,,0,,,,11,2,26,PUERTO RICO,,20211367,-66.414655,18.215692
MAINE,2021,13,,0,,,,0,,,1,10,18,10,MAINE,,20211304,-69.06137,45.117911
VIRGINIA,2021,13,,1,1,1,,2,,4,5,52,124,125,VIRGINIA,,20211336,-78.666382,37.510861
ARIZONA,2021,13,,0,,2,,1,1,3,9,28,124,125,ARIZONA,,20211349,-111.664616,34.293239
AMERICAN SAMOA,2021,13,,0,,,,0,,,,0,,,,AMERICAN SAMOA,20211364,,
WISCONSIN,2021,13,,0,,1,,1,,,3,33,91,143,WISCONSIN,,20211319,-89.732969,44.639954
IDAHO,2021,13,,0,,,,0,,,,14,,43,IDAHO,,20211351,-114.659366,44.389073
U.S. VIRGIN ISLANDS,2021,13,,0,,,,0,,,,0,,,VIRGIN ISLANDS,,20211368,-64.840836,18.060868
MICHIGAN,2021,13,,0,,3,,1,,,,47,24,153,MICHIGAN,,20211317,-85.730977,44.874798
GEORGIA,2021,13,,0,,,,0,,,2,98,167,259,GEORGIA,,20211332,-83.426574,32.638481
NEW YORK CITY,2021,13,,1,2,5,,2,2,12,7,43,139,191,,NEW YORK CITY,20211312,,
ARKANSAS,2021,13,,1,,,,1,,,6,23,51,55,ARKANSAS,,20211344,-92.439162,34.899825
MISSISSIPPI,2021,13,,0,,,,0,,,,0,,,MISSISSIPPI,,20211341,-89.65344,32.713378
SOUTH DAKOTA,2021,13,,0,,,,0,,,,4,12,10,SOUTH DAKOTA,,20211327,-100.230491,44.43614
WYOMING,2021,13,,0,,,,0,,,,9,13,12,WYOMING,,20211356,-107.55145,42.999627
MISSOURI,2021,13,,0,,,,1,,2,,36,17,109,MISSOURI,,20211324,-92.477244,38.3675
MIDDLE ATLANTIC,2021,13,,1,2,9,,2,7,26,31,129,394,656,,MIDDLE ATLANTIC,20211309,,
CALIFORNIA,2021,13,,1,,,1,2,5,7,12,58,248,70,CALIFORNIA,,20211359,-119.662127,37.211164
WEST VIRGINIA,2021,13,,0,,,,0,,,,14,1,25,WEST VIRGINIA,,20211337,-80.613729,38.642579
FLORIDA,2021,13,,0,,1,,1,1,,75,507,661,911,FLORIDA,,20211331,-82.420978,28.260731
MONTANA,2021,13,,0,,,,0,,,,29,18,14,MONTANA,,20211352,-109.645127,47.033521
WEST NORTH CENTRAL,2021,13,,2,,1,,1,,2,8,93,180,331,,WEST NORTH CENTRAL,20211320,,
MASSACHUSETTS,2021,13,,1,,1,,1,1,3,7,30,124,135,MASSACHUSETTS,,20211305,-71.481104,42.151077
MOUNTAIN,2021,13,,1,,4,,1,1,4,18,152,304,438,,MOUNTAIN,20211348,,
INDIANA,2021,13,,0,,,,0,,1,,27,40,128,INDIANA,,20211316,-86.2818,39.919991
NON-US RESIDENTS,2021,13,,0,,,,0,,,,1,,,,NON-US RESIDENTS,20211369,,
US TERRITORIES,2021,13,,0,,,,0,,,,11,2,26,,US TERRITORIES,20211363,,
TOTAL,2021,14,,3,6,34,,3,18,77,178,1518,3914,5905,,TOTAL,20211470,,
US RESIDENTS,2021,14,,3,6,34,,3,18,77,178,1515,3912,5876,,US RESIDENTS,20211401,,
NEW HAMPSHIRE,2021,14,,0,,,,1,,,,9,18,21,NEW HAMPSHIRE,,20211406,-71.57139,43.680429
NEW YORK,2021,14,,0,,3,,2,3,3,16,49,138,205,NEW YORK,,20211411,-75.59655,42.921241
PACIFIC,2021,14,,1,2,1,,2,5,15,18,168,459,290,,PACIFIC,20211457,,
WEST SOUTH CENTRAL,2021,14,,1,,1,,1,,6,41,225,424,731,,WEST SOUTH CENTRAL,20211443,,
NEBRASKA,2021,14,,0,,,,0,,,,16,41,37,NEBRASKA,,20211425,-99.810595,41.527099
EAST SOUTH CENTRAL,2021,14,,1,,1,,1,,2,12,98,258,312,,EAST SOUTH CENTRAL,20211438,,
NORTH DAKOTA,2021,14,,0,,,,0,,,,5,7,13,NORTH DAKOTA,,20211426,-100.46931,47.446305
NEVADA,2021,14,,0,,2,,0,,,,3,8,14,NEVADA,,20211453,-114.916992,39.283294
ILLINOIS,2021,14,,2,,6,,1,,3,,71,108,254,ILLINOIS,,20211415,-89.148632,40.124144
IOWA,2021,14,,2,,1,,0,,,3,35,68,98,IOWA,,20211421,-93.500061,42.074659
TEXAS,2021,14,,1,,1,,1,,4,14,153,172,376,TEXAS,,20211447,-99.317341,31.447238
ALASKA,2021,14,,1,,,,0,,,,9,3,5,ALASKA,,20211458,-151.631889,63.631126
DISTRICT OF COLUMBIA,2021,14,,0,,,,0,,,,2,,4,DISTRICT OF COLUMBIA,,20211430,-77.016275,38.904785
WASHINGTON,2021,14,,1,1,1,,1,,7,1,69,106,121,WASHINGTON,,20211462,-120.592492,47.411715
NEW ENGLAND,2021,14,,1,1,4,,1,1,3,9,62,204,265,,NEW ENGLAND,20211402,,
RHODE ISLAND,2021,14,,0,,,,0,,,,10,1,17,RHODE ISLAND,,20211407,-71.534637,41.572574
OREGON,2021,14,,0,,,,0,,1,2,68,50,60,OREGON,,20211461,-120.605279,43.940449
DELAWARE,2021,14,,0,,,,1,1,,,10,13,,DELAWARE,,20211429,-75.452394,38.994926
ALABAMA,2021,14,,1,,1,,1,,,9,44,78,108,ALABAMA,,20211439,-86.844516,32.756889
KANSAS,2021,14,,0,,,,0,,,2,26,43,73,KANSAS,,20211422,-98.38018,38.484729
NORTH CAROLINA,2021,14,,0,,,,0,,4,,68,34,238,NORTH CAROLINA,,20211434,-79.130883,35.52603
GUAM,2021,14,,0,,,,0,,,,0,,,GUAM,,20211466,144.653198,13.3532
NEW JERSEY,2021,14,,0,,,,1,,5,,10,,62,NEW JERSEY,,20211410,-74.655514,40.110253
NEW MEXICO,2021,14,,0,,,,0,,,,15,,52,NEW MEXICO,,20211454,-106.108388,34.421369
EAST NORTH CENTRAL,2021,14,,2,,10,,1,1,6,9,217,431,867,,EAST NORTH CENTRAL,20211414,,
TENNESSEE,2021,14,,1,,,,0,,1,2,41,138,124,TENNESSEE,,20211442,-86.343226,35.842998
CONNECTICUT,2021,14,,1,1,3,,1,,,,17,29,68,CONNECTICUT,,20211403,-72.738288,41.575155
MARYLAND,2021,14,,0,,1,,1,1,1,,38,14,112,MARYLAND,,20211433,-76.687282,38.946466
SOUTH CAROLINA,2021,14,,0,,,,0,,2,8,85,124,138,SOUTH CAROLINA,,20211435,-80.864614,33.878572
OKLAHOMA,2021,14,,0,,,,0,,2,4,41,70,103,OKLAHOMA,,20211446,-97.508297,35.583449
NORTHERN MARIANA ISLANDS,2021,14,,0,,,,0,,,,0,,,NORTHERN MARIANA ISLANDS,,20211465,145.725693,15.1834
OHIO,2021,14,,0,,,,1,1,2,,48,152,168,OHIO,,20211418,-82.70936,40.415534
MINNESOTA,2021,14,,0,,,,0,,,,0,,,MINNESOTA,,20211423,-94.198308,46.349153
LOUISIANA,2021,14,,1,,,,0,,,16,47,124,193,LOUISIANA,,20211445,-91.840238,30.921314
HAWAII,2021,14,,1,1,,,0,,,,6,19,24,HAWAII,,20211460,-157.854309,21.361013
SOUTH ATLANTIC,2021,14,,1,1,3,,2,3,13,39,820,1181,1895,,SOUTH ATLANTIC,20211428,,
PENNSYLVANIA,2021,14,,1,,1,,2,2,6,8,52,147,241,PENNSYLVANIA,,20211413,-77.838886,40.896694
UTAH,2021,14,,0,,,,0,,,4,52,41,55,UTAH,,20211455,-111.678222,39.323779
COLORADO,2021,14,,1,,,,1,,1,9,30,118,139,COLORADO,,20211450,-105.547832,38.998552
VERMONT,2021,14,,0,,,,0,,,,8,2,11,VERMONT,,20211408,-72.662695,44.075252
KENTUCKY,2021,14,,0,,,,0,,1,1,52,42,80,KENTUCKY,,20211440,-85.290484,37.526683
PUERTO RICO,2021,14,,0,,,,0,,,,11,2,26,PUERTO RICO,,20211467,-66.414655,18.215692
MAINE,2021,14,,0,,,,0,,,1,10,20,10,MAINE,,20211404,-69.06137,45.117911
VIRGINIA,2021,14,,1,1,1,,2,,6,8,52,137,133,VIRGINIA,,20211436,-78.666382,37.510861
ARIZONA,2021,14,,0,,2,,1,1,3,4,28,135,138,ARIZONA,,20211449,-111.664616,34.293239
AMERICAN SAMOA,2021,14,,0,,,,0,,,,0,,,,AMERICAN SAMOA,20211464,,
WISCONSIN,2021,14,,0,,1,,1,,,9,33,105,147,WISCONSIN,,20211419,-89.732969,44.639954
IDAHO,2021,14,,0,,,,0,,,,14,,43,IDAHO,,20211451,-114.659366,44.389073
U.S. VIRGIN ISLANDS,2021,14,,0,,,,0,,,,1,,3,VIRGIN ISLANDS,,20211468,-64.840836,18.060868
MICHIGAN,2021,14,,0,,3,,1,,,,47,24,159,MICHIGAN,,20211417,-85.730977,44.874798
GEORGIA,2021,14,,0,,,,0,,,9,94,183,274,GEORGIA,,20211432,-83.426574,32.638481
NEW YORK CITY,2021,14,,1,2,5,,2,2,12,1,43,140,196,,NEW YORK CITY,20211412,,
ARKANSAS,2021,14,,1,,,,1,,,7,23,58,59,ARKANSAS,,20211444,-92.439162,34.899825
MISSISSIPPI,2021,14,,0,,,,0,,,,0,,,MISSISSIPPI,,20211441,-89.65344,32.713378
SOUTH DAKOTA,2021,14,,0,,,,0,,,,4,13,10,SOUTH DAKOTA,,20211427,-100.230491,44.43614
WYOMING,2021,14,,0,,,,0,,,1,9,15,13,WYOMING,,20211456,-107.55145,42.999627
MISSOURI,2021,14,,0,,,,1,,2,,36,17,113,MISSOURI,,20211424,-92.477244,38.3675
MIDDLE ATLANTIC,2021,14,,1,2,9,,2,7,26,25,138,425,704,,MIDDLE ATLANTIC,20211409,,
CALIFORNIA,2021,14,,1,,,,2,5,7,15,58,281,80,CALIFORNIA,,20211459,-119.662127,37.211164
WEST VIRGINIA,2021,14,,0,,,,0,,,,15,1,33,WEST VIRGINIA,,20211437,-80.613729,38.642579
FLORIDA,2021,14,,0,,1,,1,1,,14,507,675,963,FLORIDA,,20211431,-82.420978,28.260731
MONTANA,2021,14,,0,,,,0,,,2,29,24,14,MONTANA,,20211452,-109.645127,47.033521
WEST NORTH CENTRAL,2021,14,,2,,1,,1,,2,5,93,189,344,,WEST NORTH CENTRAL,20211420,,
MASSACHUSETTS,2021,14,,1,,1,,1,1,3,8,30,134,138,MASSACHUSETTS,,20211405,-71.481104,42.151077
MOUNTAIN,2021,14,,1,,4,,1,1,4,20,152,341,468,,MOUNTAIN,20211448,,
INDIANA,2021,14,,0,,,,0,,1,,27,42,139,INDIANA,,20211416,-86.2818,39.919991
NON-US RESIDENTS,2021,14,,0,,,,0,,,,1,,,,NON-US RESIDENTS,20211469,,
US TERRITORIES,2021,14,,0,,,,0,,,,11,2,29,,US TERRITORIES,20211463,,
